date,skipper_given_names,skipper_family_name,skipper_residence,route,direction
1780/01/01,Michel,Boyessen,Kiøbenhavn,Kiøbenhavn – St. Thomas,west
1780/01/01,Sikke,Hilles,Amsterdam,Riga – Cartagena,west
1780/01/01,Hans,Jensen,Riga,Riga – London,west
1780/01/02,Daniel,Berg,Lubeck,Liebau – Roscoff,west
1780/01/05,Peter,Jorgensen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/05,Rasmus,Olsen Brandt,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/05,Frode,Petersen,Kiøbenhavn,Kiøbenhavn – St. Eustatius,west
1780/01/14,Harm Martin,Hedden,Konigsberg,London – Konigsberg,east
1780/01/17,Georg,Popin,Kønigsberg,Memel – St. Paul de Leon,west
1780/01/18,Evert,Thomas,Groningen,Memel – St. Malo,west
1780/01/21,Andreas,Nielsen Bølle,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/22,Trulls,Torngren,Carlshavn,Gottenborg – Carlshavn,east
1780/01/22,Anders,Akassøn,Landscrone,Gottenborg – Calmar,east
1780/01/22,Mouritz,With,Kiøbenhavn,Kiøbenhavn – Canton i China,west
1780/01/22,Philip Christian,Fuglede,Kiøbenhavn,Kiøbenhavn – Tranquebar,west
1780/01/26,Neil,Schanon,London,Memel – London,west
1780/01/26,Andrew,Jonson,Memel,Memel – Dublin,west
1780/01/26,Hans Christian,Schrøder,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/02/08,Jens,Møller,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/02/27,Johan Benjamin,Jurians,Dantzig,London – Dantzig,east
1780/03/05,Hans,Jespersen Møller,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Albert,Jansen Kamp,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Martinus,Nickels,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Jan Baltzer,Groot,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Aucke,Johannes,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Peter,Tonnes,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Mads,Kroyer,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/05,Peter,Petersen Groth,Kiøbenhavn,Kiøbenhavn – St. Eustatius,west
1780/03/06,Broer,Broersen,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/07,Hinrich,Brodersen,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/07,Kych,Harmens Joncker,Kiøbenhavn,Kiøbenhavn – Amsterdam,west
1780/03/08,Gabriel,Witteveen,de Lemmer,Ostende – Østersøen,east
1780/03/08,Jacob Christian,Kramer,Kiøbenhavn,Kiøbenhavn – Ostende,west
1780/03/08,Jorgen,Lorentzen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/09,Peter,Ketnes,Memel,Memel – Dundalck,west
1780/03/10,Jacob,Seegelcke,Kønigsberg,Ostende – Kønigsberg,east
1780/03/10,Martin,Kofahl,Lubeck,Amsterdam – Dantzig,east
1780/03/10,Peter,Carsten Pittersen,Stavanger,Stavanger – Kiøbenhavn,east
1780/03/10,Thyge,Bøyesen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/10,Peter,Hillebrand,Kiøbenhavn,Dantzig – Cadiz,west
1780/03/11,Daniel,St. Claire,Irwine,Irwine – Kiøbenhavn,east
1780/03/11,Thomas,Steenersen,Nedenæslehn,Arendahl – Kiøbenhavn,east
1780/03/11,Peter,Smith,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/12,Carl,Trolle,Stockholm,Stockholm – Neapolis,west
1780/03/13,Robert,Mallison,Hull,Hull – Kønigsberg,east
1780/03/13,Stephen,Gee,Hull,Hull – Elbing,east
1780/03/14,Svend,Larsen Holte,Kiøbenhavn,Kiøbenhavn – St. Thomas,west
1780/03/15,Anders,Lind,Warberg,Malmøe – Gottenborg,west
1780/03/15,Elias,Hansen Honrøe,Scheen,Kiøbenhavn – Langesund,west
1780/03/15,Jens,Thuesen,Kiøbenhavn,Kiøbenhavn – Bajona,west
1780/03/15,Niels,Westmarcker,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/15,Geert,Geertsen,Kiøbenhavn,Kiøbenhavn – St. Eustatius,west
1780/03/16,Erland,Siøberg,Malmøe,Malmøe – Gottenborg,west
1780/03/16,Oluf N.,Bunde,Kullen,Malmøe – Gottenborg,west
1780/03/17,Hendrick,Luis,Delfzyl,Stettin – Amsterdam,west
1780/03/17,Anthon Philip,Stemming,Dantzig,Amsterdam – Dantzig,east
1780/03/17,Harm,Jansen,Bremen,Bremen – Dantzig,east
1780/03/17,Johan,Hessels,Bremen,Bremen – Liebau,east
1780/03/17,Hinrich,Rahtjen,Bremen,Kønigsberg – Bremen,west
1780/03/17,Peter,Dahling,Dantzig,Amsterdam – Dantzig,east
1780/03/18,Hans,Loye,Nyekiøping,Nyested – Norge,west
1780/03/18,Claus,Pieters,Kiøbenhavn,Kiøbenhavn – Strad David,west
1780/03/19,Derk,Jans,Groningen,Zoltkamp – Elbing,east
1780/03/19,Lielf,Seekes,Bremen,Bremen – Liebau,east
1780/03/19,Cornelius,Thomsen Schumacher,Kiøbenhavn,Kiøbenhavn – Livorno,west
1780/03/20,William,Dougthy,London,London – Kønigsberg,east
1780/03/20,Matthias,Schaanberg,Malmøe,Malmøe – Gottenborg,west
1780/03/20,Pehr,Pehrsøn,Torekow,Malmøe – Gottenborg,west
1780/03/20,Pohl,Pehrsøn,Torekow,Malmøe – Gottenborg,west
1780/03/20,Johan,Passenhagen,Greifswald,Greifswald – Hull,west
1780/03/20,Frederich,Entholt,Bremen,Bremen – Liebau,east
1780/03/20,Johan Hinr.,Meyer,Bremen,Bremen – Liebau,east
1780/03/20,Johann,Mencke,Bremen,Bremen – Liebau,east
1780/03/20,Johan,Meyer,Bremen,Bremen – Liebau,east
1780/03/20,Richard Christ.,Koppelgaard,Kiøbenhavn,Messina – Kiøbenhavn,east
1780/03/21,Eyldert,Tjarcks,Amsterdam,Zoltkamp – Østersøen,east
1780/03/21,Johan,Ahrens,Dantzig,Amsterdam – Kiøbenhavn,east
1780/03/22,Lammert,Janz Dyck,ter Peckel,Amsterdam – Østersøen,east
1780/03/22,Harm,Hindricks,Groningen,Zoltkamp – Østersøen,east
1780/03/22,Nils,Pehrson,Baastad,Wismar – Marstrand,west
1780/03/22,Johan,Køper,Bremen,Bremen – Memel,east
1780/03/22,Cornelius,Jansen Bager,Kiøbenhavn,Kiøbenhavn – Laurvig,west
1780/03/22,Jens,Andriesen,Helsingør,Helsingør – Gothenborg,west
1780/03/23,Friederich,Bahr,Rostock,Rostock – Bergen,west
1780/03/23,Joh. Joch.,Bahr,Rostock,Rostock – Christiansund,west
1780/03/23,Peter,Eggebrecht,Rostock,Rostock – Bergen,west
1780/03/23,Friederich,Buck,Rostock,Rostock – Christiansund,west
1780/03/23,Alexander,Ramsay,Dysart,Kirkaldy – Kiøbenhavn,east
1780/03/23,J. Hendrick,Outjes,de Lemmer,London – Østersøen,east
1780/03/23,Jochum,Jochums,Gronningen,Zoltkamp – Østersøen,east
1780/03/23,Albert,Alberts Huibert,der Peckel,Zoltkamp – Østersøen,east
1780/03/23,Jan Hendrick,Perdock,Delfzyl,Delfzyl – Østersøen,east
1780/03/23,Jan,Poppes de Vries,Vriesland,Rotterdam – Liebau,east
1780/03/23,Ulrich,Thomsen Fisker,Kiøbenhavn,Kiøbenhavn – Bajona,west
1780/03/24,Richard,Thorley,Hull,Hull – Kønigsberg,east
1780/03/24,Hinrich Christ.,Blandau,Stralsund,Stralsund – Gottenborg,west
1780/03/24,Harm,Jans Gust,Delfzyl,London – Østersøen,east
1780/03/24,Jan,Jops,Amsterdam,London – Østersøen,east
1780/03/24,Lucas,Mathiesen,Amsterdam,Wyborg – Bordeaux,west
1780/03/24,Barend,Foppes,Amsterdam,Riga – Amsterdam,west
1780/03/24,Diederich,Detjen,Bremen,Bremen – Memel,east
1780/03/24,Johan,Wichman,Dantzig,Dunkerken – Dantzig,east
1780/03/24,Johan,Bunse,Bremen,Bremen – Memel,east
1780/03/24,Geert,Geerts Rensen,Embden,Ostende – Østersøen,east
1780/03/24,Anders,Nielsen,Stettin,Bordeaux – Kiøbenhavn,east
1780/03/24,Ede,Onnen,Embden,Embden – Kønigsberg,east
1780/03/24,Clas Jochin,Museler,Lubeck,St. Martin – Lubeck,east
1780/03/24,Christian,Klebs,Kønigsberg,Bordeaux – Kønigsberg,east
1780/03/24,Johan Benjamin,Lamerts,Kønigsberg,Bordeaux – Kønigsberg,east
1780/03/24,Andreas,Stoffregen,Stettin,Bordeaux – Stettin,east
1780/03/24,Daniel,Poppe,Memel,Memel – Dublin,west
1780/03/24,Michel,Feldt,Kønigsberg,Pillau – Amsterdam,west
1780/03/25,Casper,Møller,Barth,Amsterdam – Østersøen,east
1780/03/25,Swen,Wennerberg,Thorekow,Malmøe – Gottenborg,west
1780/03/25,Hind. J.,Ludwigson,Baastad,Gottenborg – Landscrone,east
1780/03/25,Niss,Petersen,Kiøbenhavn,Kiøbenhavn – Friderichshald,west
1780/03/25,Peter,Poulsen,Aalborg,Aalborg – Lubeck,east
1780/03/26,Michel Hinr.,Brinckman,Rostock,Rostock – Tronhiem,west
1780/03/26,Andreas,Block,Rostock,Rostock – Tronhiem,west
1780/03/26,George,Meyer,Rostock,Rostock – Bergen,west
1780/03/26,Johan,Jensen,Rostock,Rostock – Bergen,west
1780/03/26,Jochim,Meyer,Rostock,Rostock – Amsterdam,west
1780/03/26,Christopher,Griffahn,Greifswald,Greifswald – Bergen,west
1780/03/26,Carl,Reimer,Greifswald,Greifswald – Gottenborg,west
1780/03/26,Andreas,Knape,Stockholm,Wismar – Cadix,west
1780/03/26,Carl,Willborn,Kønigsberg,Pillau – Amsterdam,west
1780/03/26,Daniel,Groth,Stettin,Petersborg – Ostende,west
1780/03/26,Peter,Carsten Petersen,Stavanger,Kiøbenhavn – Stavanger,west
1780/03/26,Peter,Ketelsen,Flensborg,Amsterdam – Kiøbenhavn,east
1780/03/27,Thomas,McClemmy,Whithaven,Whithaven – Dantzig,east
1780/03/27,Peter,Flindt,Rostock,Rostock – Amsterdam,west
1780/03/27,Johan Hinr.,Piehl,Rostock,Rostock – Tronhiem,west
1780/03/27,Jan,Jeltes,Groningen,Zoltkamp – Østersøen,east
1780/03/27,Friedrich,Gorrissen,Corføer,Christiania – Kiøbenhavn,east
1780/03/28,Nicolas,Davids,Rostock,Rotterdam – Rostock,east
1780/03/28,Nicolas,Davids,Rostock,Rotterdam – Sundet,east
1780/03/28,Eybert,Geerts,ter Peckel,Amsterdam – Østersøen,east
1780/03/28,Lars,Hallgreen,Uddewalla,Uddewalla – Colberg,east
1780/03/28,Berent,Geerts,ter Peckel,Amsterdam – Østersøen,east
1780/03/28,Lars,Ahberg,Aahuus,Marstrand – Dantzig,east
1780/03/28,Pieter,Geerts,ter Peckel,Amsterdam – Østersøen,east
1780/03/28,Jan Cornelis,Borst,Delfzyl,Amsterdam – Østersøen,east
1780/03/29,Albert Claasen,Stalte,Appingedam,Amsterdam – Østersøen,east
1780/03/29,Jan,Jacobs de Groot,Dockum,Amsterdam – Østersøen,east
1780/03/29,Pieter,Hendricks,Ameland,Amsterdam – Østersøen,east
1780/03/29,Rolf,Claasens Koop,Groningen,Zoltkamp – Østersøen,east
1780/03/29,Evert,Jans de Boer,Groningen,Amsterdam – Østersøen,east
1780/03/29,Theodoricus,Romelingk,Groningen,Amsterdam – Østersøen,east
1780/03/29,Ale,Hendriks Bakker,Amsterdam,Lissabon – St. Petersborg,east
1780/03/29,Peder,Henricksen,Nedenæslehn,Østerriisøer – Kiøbenhavn,east
1780/03/29,Tron,Olsen,Flechefiord,Stavanger – Danmarck,east
1780/03/29,Niels,Johansen Schiold,Kiøbenhavn,St. Thomas – Kiøbenhavn,east
1780/03/30,Jochim Peter,Hurder,Rostock,Rostock – Christiansund,west
1780/03/30,Hans Jacob,Seyer,Rostock,Rostock – Tronhiem,west
1780/03/30,Peter,Maark,Rostock,Rostock – Christiansund,west
1780/03/30,Ernst,Busch,Rostock,Rostock – Bergen,west
1780/03/30,Siebold,Eggers,Delfzyl,Amsterdam – Østersøen,east
1780/03/30,Brugt,Douwes,Groningen,Amsterdam – Østersøen,east
1780/03/30,Jans,Harms Mulder,ter Peckel,Amsterdam – Østersøen,east
1780/03/30,Luitje,Jans,Veendam,Zoltkamp – Østersøen,east
1780/03/30,Wigbolt,Willems,Delfzyl,Amsterdam – Østersøen,east
1780/03/30,Harm,Luppes Priem,Delfzyl,Zoltkamp – Østersøen,east
1780/03/30,Christian,Harms,Embden,Embden – Kønigsberg,east
1780/03/30,Tiapke,Egberts,Delfzyl,Amsterdam – Østersøen,east
1780/03/30,Nicolaus Herman,Moller,Lubeck,Lubeck – Bordeaux,west
1780/03/30,Michael,Jorns,Dantzig,St. Martin – Dantzig,east
1780/03/30,Martin,Detgen,Bremen,Hamborg – Memel,east
1780/03/30,Manoel Joze,dos Santos,Lissabon,Lisabon – St. Petersborg,east
1780/03/30,Jochim,Schultz,Dantzig,St. Ubes – Dantzig,east
1780/03/30,Peter Jochim,Classen,Kønigsberg,London – Kønigsberg,east
1780/03/30,Jacob,Rivertz,Kiøbenhavn,St. Thomas – Kiøbenhavn,east
1780/03/31,George,Hart,Borrowstoness,Rotterdam – Dantzig,east
1780/03/31,Peter,Anderson,Inverkeithing,Inverkeithing – Memel,east
1780/03/31,Job,Stocks,Hull,London – Riga,east
1780/03/31,James,Halket,Borrowstoness,Borrowstoness – Kiøbenhavn,east
1780/03/31,David,Bonner,Borrowstoness,Borrowstoness – Kiøbenhavn,east
1780/03/31,James,Norman,Dysart,Kirkaldy – Kiøbenhavn,east
1780/03/31,Andrew,Russel,Borrowstoness,Borrowstoness – Kiøbenhavn,east
1780/03/31,John,Steen,Alloa,Alloa – Kiøbenhavn,east
1780/03/31,Hinrich,Wessels,Hamborg,Hamborg – Stettin,east
1780/03/31,Hinrich,Wessels,Hamborg,Hamborg – Sundet,east
1780/03/31,Johan Andersøn,Wyck,Stockholm,Genua – Stettin,east
1780/03/31,Baltazar,Bierdumpel,Stockholm,Cette – Stettin,east
1780/03/31,Rigt,Jans Dykhuis,Groningen,Zoltkamp – Østersøen,east
1780/03/31,Harmen T.,Kuyper,Langagerchanz,Amsterdam – Østersøen,east
1780/03/31,Koop,Wytzes,Zapmeer,Zoltkamp – Østersøen,east
1780/03/31,Roelof,Pieters Schuering,ter Peckel,Amsterdam – Østersøen,east
1780/03/31,Claas,Robyns,Worckum,Amsterdam – Kønigsberg,east
1780/03/31,Peter,Kassens,Amsterdam,Langakerschans – Østersøen,east
1780/03/31,Haye Johanes,Cramer,de Lemmer,Hamborg – Østersøen,east
1780/03/31,Teunis,Jans Klatter,Groningen,Amsterdam – Østersøen,east
1780/03/31,Focke,Heeren,Vriesland,Vriesland – Pillau,east
1780/03/31,Cornelis,Fopkes,Amsterdam,Chatham – Dantzig,east
1780/03/31,Tiebe,Jans Dyk,Delfzyl,Amsterdam – Østersøen,east
1780/03/31,Claas,Pieters Piebes,ter Peckel,Amsterdam – Østersøen,east
1780/03/31,Sigbiorn,Tiorsvog,Flechefiord,Stavanger – Danmark,east
1780/03/31,Cort Jans,Dyk,ter Peckel,Amsterdam – Østersøen,east
1780/03/31,Hans A.,Tiorsvog,Flechefiord,Stavanger – Kiøbenhavn,east
1780/03/31,Roelf,Engberts Mulder,Groningen,Zoltkamp – Østersøen,east
1780/03/31,Emanuel,Junge,Kiøbenhavn,Kiøbenhavn – Tranquebar,west
1780/03/31,Jan Cornelis,van der Zyl,Delfzyl,Amsterdam – Østersøen,east
1780/03/31,Peter,Mørck,Dragøe,Kiøbenhavn – Amsterdam,west
1780/03/31,Hindr. Pieters,Jongmann,Groningen,Zoltkamp – Østersøen,east
1780/03/31,Niels,Andersen Hollander,Kiøbenhavn,St. Ubes – Kiøbenhavn,east
1780/03/31,Claas,Hendriks,Dockum,Amsterdam – Østersøen,east
1780/03/31,Claas,Piebes,ter Peckel,Amsterdam – Østersøen,east
1780/03/31,Jacob,Minses,Vriesland,Rotterdam – Kiel,east
1780/03/31,Abraham,Pieters Schuring,Vriesland,Rouan – Dantzig,east
1780/03/31,Abraham,Pieters Schuring,Vriesland,Rouan – Kønigsberg,east
1780/04/01,Robert,King,Whitby,Hull – Memel,east
1780/04/01,Pehr,Juncker,Toreko,Baastad – Malmøe,east
1780/04/01,Maans,Pehrsøn,Kullen,Malmøe – Kongelf,west
1780/04/01,Salomon,Duse,Calmar,St. Ubes – Calmar,east
1780/04/01,Jacob,Hendrick,Embden,Amsterdam – Østersøen,east
1780/04/01,Ebbe,Claassen Muller,Embden,Embden – Østersøen,east
1780/04/01,Michael Erdtman,Boghs,Dantzig,Bordeaux – Stettin,east
1780/04/01,Martin,Lumack,Stettin,London – Stettin,east
1780/04/01,Jan,Janssen Visser,Dockum,Amsterdam – Østersøen,east
1780/04/01,Hendr.,Martens Prins,Veendam,Amsterdam – Østersøen,east
1780/04/01,Arend Hindr.,Rehdeker,Groningen,Embden – Østersøen,east
1780/04/01,Jannes,Roelfs Gust,Groningen,Embden – Elbingen,east
1780/04/02,Thomas,Stephenson,London,London – Dantzig,east
1780/04/02,William,Malkin,Whitby,London – Dantzig,east
1780/04/02,John,Emblenton,Whitby,Whitby – Memel,east
1780/04/02,Abel,Chapman,Whitby,London – Memel,east
1780/04/02,Richard,Thorley,Hull,Hull – Memel,east
1780/04/02,William,Skinner,Whitby,London – -,east
1780/04/02,Cutberth,Brodrick,Whitby,Whitby – Memel,east
1780/04/02,Jacob,Wharley,Hull,Hull – Memel,east
1780/04/02,Robert,Major,London,London – Memel,east
1780/04/02,Anders,Lind,Malmøe,Gottenborg – Malmøe,east
1780/04/02,William,Knight,Whitby,London – Memel,east
1780/04/02,Thalenius,Blomhult,Skipperkrogen,Gottenborg – Kiobenhavn,east
1780/04/02,Joseph,Loadman,London,London – Stettin,east
1780/04/02,Jons,Nilsøn,Helsingborg,Gottenborg – Kiobenhavn,east
1780/04/02,Alexander,Horsburgh,Linn,Linn – Memel,east
1780/04/02,Oluf,Pehrsøn,Kullen,Malmøe – Halmstad,west
1780/04/02,Thomas,Syman,Whitby,Whitby – Riga,east
1780/04/02,Johannes,Pettersøn,Malmøe,Gottenborg – Lowisa,east
1780/04/02,Thomas,Cowham,Hull,Hull – Memel,east
1780/04/02,Anders,Pettersøn,Uddewalla,Uddewalla – Stockholm,east
1780/04/02,Isaac,Robinson,Whitby,Whitby – Riga,east
1780/04/02,Anders,Olsøn,Halland,Gottenborg – Kiobenhavn,east
1780/04/02,George,Wright,Hull,Hull – Stettin,east
1780/04/02,Bartholomeus,Born,Greifswald,Greifswald – London,west
1780/04/02,Jonas,Hutchinson,Scarbourg,Hull – Memel,east
1780/04/02,Paul,Martenson,Gottenborg,Gottenborg – Stettin,east
1780/04/02,James,Melvin,Borrowstoness,Rotterdam – Østersøen,east
1780/04/02,Anders,Østerberg,Gottenborg,Gottenborg – Stockholm,east
1780/04/02,John,Jordan,Hull,Hull – Memel,east
1780/04/02,Børge,Pettersøn,Gottenborg,Gottenborg – Kiobenhavn,east
1780/04/02,John,Wolf,Hull,Hull – Memel,east
1780/04/02,John,Brown,Hull,Hull – Riga,east
1780/04/02,John,Ferry,Hull,Hull – Riga,east
1780/04/02,Daniel,Sommerschale,Hull,Hull – Riga,east
1780/04/02,John,Brocklesby,Hull,Hull – Kønigsberg,east
1780/04/02,John,Philliskirck,Hull,Hull – Kønigsberg,east
1780/04/02,Thomas,Courser,Hull,Hull – Riga,east
1780/04/02,Robert,Metcalfe,Hull,Hull – Dantzig,east
1780/04/02,William,Coulkewell,Hull,Hull – Riga,east
1780/04/02,Sjeerd,Anthonius,Embden,Amsterdam – Østersøen,east
1780/04/02,John,Gee,Lewerpool,Marstrand – Dantzig,east
1780/04/02,Michael,Mulder,Embden,Amsterdam – Østersøen,east
1780/04/02,Robert,Cowham,Hull,Hull – Kønigsberg,east
1780/04/02,Harmen,Hendricks,Embden,Amsterdam – Østersøen,east
1780/04/02,Thomas,Wright,Hull,Hull – Dantzig,east
1780/04/02,Johan Hendrick,Carstens,Dantzig,Veer – Dantzig,east
1780/04/02,Martin Henrick,Eckert,Kønigsberg,Amsterdam – Østersøen,east
1780/04/02,Rienje,Hayenkes,Embden,Embden – Elbingen,east
1780/04/02,Cornelius,Rostee,Embden,Embden – Østersøen,east
1780/04/02,Frantz,Tecklenburg,Bremen,Bremen – Østersøen,east
1780/04/02,Peter Andreas,Eben,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/04/02,Heindrick,Tannen,Kønigsberg,Bordeaux – Stettin,east
1780/04/02,Freerk,Jans Peeper,ter Peckel,Langakerschans – Østersøen,east
1780/04/02,Pieter,Jans Koster,ter Peckel,Amsterdam – Østersøen,east
1780/04/02,Ulrick,Jansen,Edam,Amsterdam – Østersøen,east
1780/04/02,Hindryk Claasen,de Groot,Groningen,Amsterdam – Østersøen,east
1780/04/02,Jan,Zuidema,Groningen,Zoltkamp – Østersøen,east
1780/04/02,Freryk,Hanssen,Vriesland,Embden – Østersøen,east
1780/04/02,Bonne,Jans,Appingadam,Delfzyl – Østersøen,east
1780/04/02,Duurd,Rintjes,Wousend,Liebau – Lissabon,west
1780/04/02,Siouke,Theunis Brouver,Ameland,Amsterdam – Dantzig,east
1780/04/03,Carl,Magnuson,Ystad,Ystad – Marstrand,west
1780/04/03,Holger,Jacobson,Cimbrishavn,Cimbrishavn – Gottenborg,west
1780/04/03,Lars,Westerwyk,Cimbrishavn,Cimbrishavn – Gottenborg,west
1780/04/03,Niels,Hellerstrøm,Gottenborg,Kiøbenhavn – Gottenborg,west
1780/04/03,Johan,Steinorth,Barth,Stralsund – Gottenborg,west
1780/04/03,James,Martin,Borrowstoness,Borrowstoness – Riga,east
1780/04/03,Christian,Funch,Kiøbenhavn,Kiøbenhavn – Farøe,west
1780/04/03,Hermen,Tobias,Dockum,Rotterdam – Liebau,east
1780/04/04,Håckan,Bengtson,Torekow,Carlshavn – Marstrand,west
1780/04/04,Nils,Ebbeson,Torekow,Carlshavn – Gottenborg,west
1780/04/04,Hinr. Christ.,Danckward,Stralsund,Stralsund – Gottenborg,west
1780/04/04,Jacob,Wallis,Stralsund,Stockholm – London,west
1780/04/04,John,Wilson,Montrose,Montrose – Riga,east
1780/04/04,John,Willock,Montrose,Montrose – Riga,east
1780/04/04,Claas,Meynders,Embden,Amsterdam – Østersøen,east
1780/04/04,Anders,Siversen,Sogndahl,Stavanger – Danmark,east
1780/04/04,Barent H.,Wyeman,Embden,Amsterdam – Østersøen,east
1780/04/04,Ole,Rasmussen,Tønsberg,Dramen – Kiøbenhavn,east
1780/04/04,Jacob,Korn,Kønigsberg,Kønigsberg – London,west
1780/04/04,Boe,Nielsen,Laurvig,Laurvig – Kiøbenhavn,east
1780/04/04,John,Andersen Bechen,Laurvig,Laurvig – Kiøbenhavn,east
1780/04/04,Hans,Hansen Grøn,Laurwig,Laurwig – Kiøbenhavn,east
1780/04/04,Anders,Hansen Walløe,Løvesund,Drammen – Kiøbenhavn,east
1780/04/04,Anders,Mathiesen,Thiomøe,Friderichstad – Danmark,east
1780/04/04,Elling,Nielsen,Eggersund,Dramen – Østersøen,east
1780/04/04,Ties,Egberts,ter Peckel,Amsterdam – Østersøen,east
1780/04/04,Lammert,Claasen Tiktak,ter Peckel,Zoltkamp – Østersøen,east
1780/04/04,Hendrik,Freriks,Groningen,Amsterdam – Østersøen,east
1780/04/04,Aldert,Barends Pot,Veendam,Amsterdam – Østersøen,east
1780/04/04,Hindricks,Luirts,Veendam,Amsterdam – Østersøen,east
1780/04/04,Heere,Davids,Nieuw Harlingerzyl,Nieuv Harlingerzyl – Elbing,east
1780/04/04,Eybe Onken,Ulriks,Vriesland,Amsterdam – Østersøen,east
1780/04/04,Habbe Gerhardus,Lolling,Dockum,Amsterdam – Østersøen,east
1780/04/04,Hindrik,Hindricks de Jonge,ter Peckel,Zoltkamp – Østersøen,east
1780/04/04,Gerrit,Robyns,Worckum,Ostende – Østersøen,east
1780/04/04,Hindrik,Derks,ter Peckel,Zoltkamp – Østersøen,east
1780/04/04,Reinder,Harms Lutje,Amsterdam,Amsterdam – Østersøen,east
1780/04/04,Eppe,Jansen,Ockemerzyl,Amsterdam – Østersøen,east
1780/04/04,Ouke,Oukes Eder,Edam,Vriesland – Kønigsberg,east
1780/04/04,Jan,Onken,Durgerdam,Amsterdam – Østersøen,east
1780/04/04,Folkert Janse,Dyck,Dockum,Rotterdam – Pillau,east
1780/04/04,Johannes,Nissen,Amsterdam,Kiøbenhaun – Amsterdam,west
1780/04/04,Teunis Cornelis,Rotgans,der Schelling,Amsterdam – Kønigsberg,east
1780/04/05,Børge,Lund,Warberg,Warberg – Rugenwalde,east
1780/04/05,Lars,Pettersøn,Warberg,Warberg – Malmøe,east
1780/04/05,Conrad,Bohl,Stralsund,Stralsund – Bergen,west
1780/04/05,Pehr,Nilsøn,Skipperkrogen,Marstrand – Stockholm,east
1780/04/05,Pehr,Swensøn,Halland,Gottenborg – Kiobenhavn,east
1780/04/05,Gotfried Hinr.,Waak,Wismar,Wismar – Gottenborg,west
1780/04/05,Rasmus,Swensøn,Malmøe,Marstrand – Norkøping,east
1780/04/05,Allexander,Jollie,Montrose,Montrose – Riga,east
1780/04/05,Anders,Axelsøn,Gottenborg,Dantzig – Gottenborg,west
1780/04/05,George,Cload,Chester,London – Riga,east
1780/04/05,Cornelius Melle,Feddes,Stockholm,Amsterdam – Stockholm,east
1780/04/05,Andreas,Thesmar,Carlshavn,Genua og St. Remo – St. Petersborg,east?
1780/04/05,Jonas,Lundstrøm,Stockholm,Stockholm – London,west
1780/04/05,Hendrick,Harms Muller,Embden,Amsterdam – Østersøen,east
1780/04/05,Luitje,Luitjes,Embden,Embden – Dantzig,east
1780/04/05,Jacob,Liedke,Kønigsberg,Memel – Dublin,west
1780/04/05,Simon Michael,Huller,Embden,Dantzig – Amsterdam,west
1780/04/05,Frantz Christian,Steffens,Lubeck,Bordeaux – Lubeck,east
1780/04/05,Joachim,Nuscke,Stettin,London – Stettin,east
1780/04/05,Sivert,Olsen Lønning,Sogndahl,Stavanger – Danmark,east
1780/04/05,Johan Joachim,Meyer,Dantzig,Nantes – Dantzig og Stettin,east?
1780/04/05,Ole,Thorsen,Thiømøe,Laurwig – Kiøbenhavn,east
1780/04/05,Mathias,Grøn,Laurvig,Laurvig – Kiøbenhavn,east
1780/04/05,Søren,Nielsen,Notterøe,Tønsberg – Kiøbenhavn,east
1780/04/05,Erich,Pettersen,Aalborg,Bergen – Kiøbenhavn,east
1780/04/05,Thomas,Steenersen,Nedenæslehn,Kiøbenhavn – Arendahl,west
1780/04/05,Jens,Nielsen,Kiøbenhavn,Farøe – Kiøbenhavn,east
1780/04/05,Adolph,Thorsen,Kiøbenhavn,Christiansund – Kiøbenhavn,east
1780/04/05,Adolph,Thorsen,Kiøbenhavn,Christiansund – Rostock,east
1780/04/05,Christian,Erichsen Holm,Kiøbenhavn,St. Thomas – Kiøbenhavn,east
1780/04/05,Hans,Jordt,Flensborg,Cette – Lubeck,east
1780/04/05,Peter,Jordt,Flensborg,Cette – Stettin,east
1780/04/05,Peter,Jordt,Flensborg,Cette – Sundet,east
1780/04/05,Edzert,Hindricks,ter Peckel,Amsterdam – Østersøen,east
1780/04/05,Jan,Pieters Piebes,ter Peckel,Zoltkamp – Østersøen,east
1780/04/05,Leurt,Teunis,Groningen,Amsterdam – Østersøen,east
